title,note,lat,lng,source,url
"小倉宮原の徳本念仏塔",,35.5850603,139.2962863,chrome,"https://www.google.com/maps/place/%E5%B0%8F%E5%80%89%E5%AE%AE%E5%8E%9F%E3%81%AE%E5%BE%B3%E6%9C%AC%E5%BF%B5%E4%BB%8F%E5%A1%94/data=!4m2!3m1!1s0x60191d0065d22bd7:0xd566c06769a1f7c8"
"「徳本」の石碑",,34.6921388,138.9408222,chrome,"https://www.google.com/maps/place/%E3%80%8C%E5%BE%B3%E6%9C%AC%E3%80%8D%E3%81%AE%E7%9F%B3%E7%A2%91/data=!4m2!3m1!1s0x6019e3000a2dc841:0xd00e15996f816c6b"
"西光寺",,37.0473042,136.9585532,chrome,"https://www.google.com/maps/place/%E8%A5%BF%E5%85%89%E5%AF%BA/data=!4m2!3m1!1s0x5ff73da059f1f59f:0xee4645baf288757a"
"専光寺",,36.8169207,137.3952234,chrome,"https://www.google.com/maps/place/%E5%B0%82%E5%85%89%E5%AF%BA/data=!4m2!3m1!1s0x5ff7a4f95fad6543:0xeef5d869223e830d"
"西願寺（浄土宗 群金山 養林院 西願寺）",,36.8112824,137.3974868,chrome,"https://www.google.com/maps/place/%E8%A5%BF%E9%A1%98%E5%AF%BA%EF%BC%88%E6%B5%84%E5%9C%9F%E5%AE%97+%E7%BE%A4%E9%87%91%E5%B1%B1+%E9%A4%8A%E6%9E%97%E9%99%A2+%E8%A5%BF%E9%A1%98%E5%AF%BA%EF%BC%89/data=!4m2!3m1!1s0x5ff7a4ef99510f7d:0x8c64fa76f9d522ae"
"金剛院",,37.10316,137.989679,chrome,"https://www.google.com/maps/place/%E9%87%91%E5%89%9B%E9%99%A2/data=!4m2!3m1!1s0x5ff664148fdc2273:0x1b2f70c22a3eb316"
"大雄寺",,36.1447183,137.2642147,chrome,"https://www.google.com/maps/place/%E5%A4%A7%E9%9B%84%E5%AF%BA/data=!4m2!3m1!1s0x6002bac542733c1d:0xdecdb1cf787e8881"
"浄厳院",,35.1378575,136.1286075,chrome,"https://www.google.com/maps/place/%E6%B5%84%E5%8E%B3%E9%99%A2/data=!4m2!3m1!1s0x60017bf724ce3493:0xca108705cbc6ca11"
"宗安寺 赤門（伝 佐和山城表門）",,35.2704945,136.2509375,chrome,"https://www.google.com/maps/place/%E5%AE%97%E5%AE%89%E5%AF%BA+%E8%B5%A4%E9%96%80%EF%BC%88%E4%BC%9D+%E4%BD%90%E5%92%8C%E5%B1%B1%E5%9F%8E%E8%A1%A8%E9%96%80%EF%BC%89/data=!4m2!3m1!1s0x6003d4d69fd870ff:0x793a5863ee20b4dc"
"迎冬山貞松院",,36.041464,138.122953,chrome,"https://www.google.com/maps/place/%E8%BF%8E%E5%86%AC%E5%B1%B1%E8%B2%9E%E6%9D%BE%E9%99%A2/data=!4m2!3m1!1s0x601c5435a15e5549:0x36992d1cd400cbd1"
"桑原山正願寺",,36.041719,138.124256,chrome,"https://www.google.com/maps/place/%E6%A1%91%E5%8E%9F%E5%B1%B1%E6%AD%A3%E9%A1%98%E5%AF%BA/data=!4m2!3m1!1s0x601c5435c5780ec1:0xec68175dd34f6404"
"一行院",,35.7241613,139.7452358,chrome,"https://www.google.com/maps/place/%E4%B8%80%E8%A1%8C%E9%99%A2/data=!4m2!3m1!1s0x60188dba6e2cb5db:0xaf60c60e582c2023"
"光攝寺",,34.4596067,135.3754542,chrome,"https://www.google.com/maps/place/%E5%85%89%E6%94%9D%E5%AF%BA/data=!4m2!3m1!1s0x6000c5e2619de201:0xd9bf473499d7b50e"
"里宮山 無量光寺",,34.2202116,135.1743436,chrome,"https://www.google.com/maps/place/%E9%87%8C%E5%AE%AE%E5%B1%B1+%E7%84%A1%E9%87%8F%E5%85%89%E5%AF%BA/data=!4m2!3m1!1s0x6000b2cf1a558be1:0xccbb07c99b0a9040"
"正覺寺（正覚寺）",,34.462181,135.373826,chrome,"https://www.google.com/maps/place/%E6%AD%A3%E8%A6%BA%E5%AF%BA%EF%BC%88%E6%AD%A3%E8%A6%9A%E5%AF%BA%EF%BC%89/data=!4m2!3m1!1s0x6000c60a6d4211ff:0x4fd5895b89ba5bd7"
"中ノ坂 四ツ辻の道標",,33.898496,135.1417856,chrome,"https://www.google.com/maps/place/%E4%B8%AD%E3%83%8E%E5%9D%82+%E5%9B%9B%E3%83%84%E8%BE%BB%E3%81%AE%E9%81%93%E6%A8%99/data=!4m2!3m1!1s0x6000fb630d73c679:0x55dfaad5c488fbcc"
"白島石丸共同墓地 阿弥陀佛",,34.8404227,135.4909044,chrome,"https://www.google.com/maps/place/%E7%99%BD%E5%B3%B6%E7%9F%B3%E4%B8%B8%E5%85%B1%E5%90%8C%E5%A2%93%E5%9C%B0+%E9%98%BF%E5%BC%A5%E9%99%80%E4%BD%9B/data=!4m2!3m1!1s0x6000fb137ba36be7:0xf638e61c31aabe2"
